hour,day_of_week,is_weekend,distance_km,log_distance,weather_severity,delivery_duration,pickup_lat,pickup_lon,drop_lat,drop_lon,service_type_grocery,service_type_parcel,city_KHI,city_LHR,distance_bucket_Short,distance_bucket_Medium,distance_bucket_Long
11,1,0,10.28,2.423031246069913,3.61,10.0,24.80302,67.02307,24.84846685176224,67.05141074248749,True,False,True,False,False,True,False
21,1,0,1.89,1.0612565021243408,2.98,-4.0,31.45807,74.31694,31.47732119713264,74.33668284503459,False,False,False,True,False,False,False
21,1,0,4.73,1.7457155307266483,1.14,0.0,24.92562,67.04845,24.971180487604435,67.06487534450474,True,False,True,False,False,False,False
17,5,1,7.81,2.175887439948088,3.2079999999999997,11.0,33.65855,73.02166,33.70232692109041,73.05692213941768,False,True,False,False,True,False,False
9,6,1,1.08,0.7323678937132266,2.67,-6.0,24.91423,67.10443,24.93378715268312,67.11917293732164,True,False,True,False,False,False,False
11,6,1,9.44,2.3456445824544927,2.7299999999999995,17.0,24.84164,67.08556,24.861660337435435,67.10800821437313,False,True,True,False,True,False,False
19,6,1,14.13,2.7166795278002644,1.4899999999999998,32.0,24.86495,67.09699,24.8858271814983,67.12235427258703,False,False,True,False,False,True,False
14,6,1,9.86,2.3850863145057892,3.6439999999999997,8.0,33.651,73.03385,33.67694537339383,73.0574169448001,False,True,False,False,True,False,False
13,6,1,12.7,2.617395832834079,3.76,15.0,33.68156,73.09911,33.7088172586815,73.14390196614369,True,False,False,False,False,True,False
15,6,1,11.04,2.488234439880675,1.0,16.0,31.45549,74.26864,31.49536081778478,74.29165875954708,True,False,False,True,False,True,False
15,6,1,3.41,1.4838746894587547,3.322,3.0,24.9108,67.14382,24.95529086917412,67.16053570767221,False,True,True,False,False,False,False
21,6,1,3.44,1.4906543764441333,0.9100000000000001,-8.0,33.73502,73.09323,33.769069442318354,73.10896682410161,False,True,False,False,False,False,False
10,6,1,4.28,1.66392609771817,5.012,-4.0,31.56852,74.33021,31.607306202931124,74.34109514697685,False,False,False,True,False,False,False
17,1,0,10.96,2.481567748522486,3.63,11.0,33.73218,73.0139,33.77207190230239,73.02581655471654,False,True,False,False,False,True,False
20,6,1,14.6,2.747270914255491,1.4300000000000002,19.0,31.46714,74.30493,31.477193345579632,74.32788398522983,False,False,False,True,False,True,False
13,6,1,10.86,2.4731713935695794,2.9699999999999998,28.0,31.52752,74.27134,31.55897718183593,74.31475449416715,True,False,False,True,False,True,False
12,6,1,2.61,1.2837077723447896,-0.6600000000000003,-3.0,24.86964,67.00301,24.885279173479606,67.04016385540116,False,True,True,False,False,False,False
17,6,1,10.43,2.4362414778067194,1.6600000000000001,10.0,31.46892,74.29373,31.50820393023205,74.33106554532573,False,False,False,True,False,True,False
10,6,1,12.65,2.613739521630969,2.7800000000000002,35.0,33.68475,73.03291,33.717607546059284,73.0527300724411,False,True,False,False,False,True,False
20,6,1,6.5,2.0149030205422647,2.4799999999999995,8.0,24.92945,67.0625,24.96920461123553,67.1067549639286,False,False,True,False,True,False,False
17,6,1,7.11,2.093097868127322,1.38,0.0,24.92493,67.00665,24.947266843553148,67.0438263423038,True,False,True,False,True,False,False
11,6,1,1.28,0.8241754429663495,4.83,-4.0,31.52526,74.34012,31.54569340651216,74.3848331400866,False,False,False,True,False,False,False
17,6,1,6.69,2.0399207835175526,1.6600000000000001,6.0,31.48462,74.3291,31.518274325693053,74.34829322110933,True,False,False,True,True,False,False
16,6,1,13.0,2.639057329615259,3.04,29.0,24.92186,67.07147,24.96596919861114,67.09135580280122,True,False,True,False,False,True,False
17,1,0,4.38,1.682688374173693,3.63,8.0,33.74749,73.04111,33.77527851107433,73.07417179959805,False,True,False,False,False,False,False
9,6,1,10.22,2.4176979000945504,4.01,19.0,33.73993,73.09699,33.77530812559022,73.1375522235941,False,False,False,False,False,True,False
9,6,1,6.12,1.9629077254238845,2.67,8.0,24.93087,67.1315,24.968901181581888,67.1677289789837,True,False,True,False,True,False,False
15,6,1,11.23,2.503891949699081,3.322,8.0,24.9407,67.1086,24.972739569779847,67.14941652059586,False,True,True,False,False,True,False
8,6,1,13.54,2.6769034721053733,3.07,25.0,33.71869,73.04593,33.75131002925422,73.08369264299424,False,False,False,False,False,True,False
12,6,1,2.0,1.0986122886681096,-0.6600000000000003,0.0,24.94272,67.09559,24.98422807530796,67.13358076173925,False,True,True,False,False,False,False
18,6,1,11.01,2.485739636091892,3.23,32.0,24.87153,67.04684,24.892930716370383,67.0860612852348,True,False,True,False,False,True,False
17,6,1,3.85,1.578978704949392,1.38,3.0,24.91563,67.02142,24.933829197728173,67.05885646422881,False,False,True,False,False,False,False
20,6,1,11.21,2.502255288122613,2.88,18.0,33.6888,73.04916,33.71060988218052,73.08992374692787,False,False,False,False,False,True,False
9,6,1,7.38,2.1258479144939915,3.82,12.0,31.50656,74.25081,31.546905503356548,74.28584546577322,False,True,False,True,True,False,False
13,6,1,8.61,2.262804222982201,3.76,12.0,33.67537,73.04939,33.71011749398848,73.06201363458659,True,False,False,False,True,False,False
17,1,0,3.95,1.599387576580599,3.63,4.0,33.65886,73.06769,33.671423788441444,73.101535705982,False,True,False,False,False,False,False
21,6,1,10.21,2.4168062370840686,1.16,19.0,24.84381,67.08922,24.854909715585272,67.10180801322015,False,False,True,False,False,True,False
19,6,1,5.67,1.8976198599275325,1.4899999999999998,22.0,24.83524,67.06637,24.851458091686258,67.10020766382924,False,True,True,False,True,False,False
10,6,1,10.73,2.462149662665384,3.3699999999999997,17.0,24.80402,67.01379,24.84145716882833,67.0409487992287,True,False,True,False,False,True,False
16,6,1,13.2,2.653241964607215,3.01,26.0,31.4856,74.29376,31.529843813289457,74.31045691790986,False,False,False,True,False,True,False
10,6,1,4.43,1.691939133945844,2.7800000000000002,-2.0,33.69043,73.07847,33.73302468059862,73.12556330460696,True,False,False,False,False,False,False
14,6,1,3.78,1.5644405465033646,1.31,2.0,24.88314,67.10003,24.930345622135505,67.13752106446883,False,True,True,False,False,False,False
18,6,1,14.13,2.7166795278002644,3.23,41.0,24.82915,67.02424,24.84741448322724,67.05459363392522,False,False,True,False,False,True,False
16,6,1,2.84,1.3454723665996355,3.01,3.0,31.58114,74.25596,31.603849221864703,74.30560606580593,True,False,False,True,False,False,False
12,6,1,4.68,1.7369512327330598,0.3700000000000002,2.0,33.74841,73.0187,33.79300215234961,73.04431693304775,False,True,False,False,False,False,False
12,6,1,10.86,2.4731713935695794,-0.6600000000000003,23.0,24.81969,67.14109,24.86568572214531,67.16501304311605,True,False,True,False,False,True,False
10,1,0,1.96,1.085189268335969,3.8699999999999997,-2.0,24.86261,67.04645,24.910123031999404,67.08353579866686,True,False,True,False,False,False,False
19,6,1,6.56,2.0228711901914416,4.288,19.0,33.65527,73.01417,33.68919995171517,73.0489352620348,False,True,False,False,True,False,False
11,6,1,12.91,2.6326080059353516,4.83,29.0,31.52259,74.33141,31.570745802555912,74.3506225870156,False,True,False,True,False,True,False
19,6,1,2.4,1.2237754316221157,1.4899999999999998,5.0,24.89184,67.04284,24.92798248887832,67.07906263603827,False,False,True,False,False,False,False
16,6,1,3.24,1.4445632692438664,3.04,0.0,24.91609,67.14577,24.94044739041012,67.17198078280931,True,False,True,False,False,False,False
11,6,1,10.57,2.448415541205585,1.7,5.0,33.73216,73.09726,33.74448951130843,73.11350709321765,True,False,False,False,False,True,False
10,6,1,3.07,1.4036429994545037,2.7800000000000002,2.0,33.71397,73.05701,33.72848612844243,73.10336638817896,True,False,False,False,False,False,False
20,6,1,5.56,1.8809906029559977,2.4799999999999995,6.0,24.90256,67.03426,24.92948057784967,67.06655380258866,False,False,True,False,True,False,False
